Award ID,Directorate,Recipient,Title,Obligated,,Date of export: 6/5/2025
1231319,MPS ,Harvard University                                              ,Center for Integrated Quantum Materials,"$44,434,393 ",,
1432910,EDU ,Regents of the University of Idaho                              ,"Collaborative Research: The Pacific Northwest Alliance to Develop, Implement and Study a STEM Graduate Education Model for American Indians and Native Alaskans","$1,257,442 ",,
1661201,EDU ,Purdue University                                               ,Collaborative Research: Identity Development Evaluation of African American Science Students (IDEAAS): A Longitudinal Investigation,"$555,089 ",,
1712692,EDU ,Auburn University                                               ,The Greater Alabama Black Belt Region (GABBR) LSAMP,"$4,999,995 ",,
1723165,EDU ,Texas A&M University Corpus Christi                             ,Collaborative Research: The Texas A&M System AGEP Alliance: A Model to Advance Historically Underrepresented Minorities in the STEM Professoriate,"$614,061 ",,
1723209,EDU ,CUNY City College                                               ,Collaborative Research: The Hispanic AGEP Alliance for the Environmental Science and Engineering Professoriate in Community Colleges and Associate Degree Programs,"$2,315,184 ",,
1723245,EDU ,University of Texas at El Paso                                  ,Collaborative Research: The Hispanic AGEP Alliance for the Environmental Science and Engineering Professoriate in Community Colleges and Associate Degree Programs,"$1,262,377 ",,
1736019,EDU ,University of Puerto Rico Medical Sciences Campus               ,Puerto Rico Center for Environmental Neuroscience (Cycle II),"$5,100,000 ",,
1743117,MPS ,University of California-Santa Cruz                             ,Advancing Inclusive Leaders in Astronomy,"$1,420,207 ",,
1761287,EDU ,Xavier University of Louisiana                                  ,Xavier ADVANCE Adaptation - Supporting Transformation: Intersectional Directions to Engender Success (STrIDES),"$1,013,337 ",,
1817314,EDU ,Ohio State University                                           ,The Ohio LSAMP Alliance,"$4,695,442 ",,
1817519,EDU ,Columbus State University                                       ,Louis Stokes STEM Pathways Implementation - Only Alliance: The Southwestern Georgia STEM Pathways Alliance,"$3,000,000 ",,
1817537,EDU ,Kansas State University                                         ,Louis Stokes STEM Pathways Implementation-Only Alliance: Kansas Pathways to STEM,"$2,999,999 ",,
1820536,EDU ,North Carolina State University                                 ,Collaborative Research: AGEP North Carolina Alliance: An Institutional Transformation Model to Increase Minority STEM Doctoral Student and Faculty Success,"$930,081 ",,
1820538,EDU ,North Carolina Agricultural & Technical State University        ,Collaborative Research: AGEP North Carolina Alliance: An Institutional Transformation Model to Increase Minority STEM Doctoral Student and Faculty Success,"$761,280 ",,
1820582,EDU ,University of North Carolina at Charlotte                       ,Collaborative Research: AGEP North Carolina Alliance: An Institutional Transformation Model to Increase Minority STEM Doctoral Student and Faculty Success,"$992,789 ",,
1820875,EDU ,University of California - Merced                               ,Collaborative Research: The AGEP California Hispanic Serving Institutions (HSI) Alliance to Increase Underrepresented Minority Faculty in STEM,"$621,039 ",,
1820876,EDU ,California State University-Fresno Foundation                   ,Collaborative Research: The AGEP California Hispanic Serving Institutions (HSI) Alliance to Increase Underrepresented Minority Faculty in STEM,"$278,029 ",,
1820886,EDU ,University of California-Santa Barbara                          ,Collaborative Research: The AGEP California Hispanic Serving Institutions (HSI) Alliance to Increase Underrepresented Minority Faculty in STEM,"$1,264,017 ",,
1820895,EDU ,California State University Channel Islands                     ,Collaborative Research: The AGEP California Hispanic Serving Institutions (HSI) Alliance to Increase Underrepresented Minority Faculty in STEM,"$528,260 ",,
1820971,EDU ,Salisbury University                                            ,The AGEP Alliance State System Model to Transform the Hiring Practices and Career Success of Tenure Track Historically Underrepresented Minority Faculty in Biomedical Sciences,"$317,879 ",,
1820975,EDU ,"University of Maryland, College Park                            ",The AGEP Alliance State System Model to Transform the Hiring Practices and Career Success of Tenure Track Historically Underrepresented Minority Faculty in Biomedical Sciences,"$812,798 ",,
1820984,EDU ,University of Maryland Baltimore County                         ,The AGEP Alliance State System Model to Transform the Hiring Practices and Career Success of Tenure Track Historically Underrepresented Minority Faculty in Biomedical Sciences,"$1,512,798 ",,
1821083,EDU ,SUNY at Stony Brook                                             ,Collaborative Research: An AGEP Alliance Model to Advance Underrepresented Minority STEM Faculty at Predominately Undergraduate Institutions,"$1,571,365 ",,
1821298,EDU ,Georgia Tech Applied Research Corporation                       ,Collaborative Research: The AGEP Engineering Alliance: A Model to Advance Historically Underrepresented Minority Postdoctoral Scholars and Early Career Faculty in Engineering,"$936,697 ",,
1821510,EDU ,Trustees of Boston University                                   ,Collaborative Research: IUSE EHR - Inclusive Learning and Teaching in Undergraduate STEM Instruction,"$419,925 ",,
1821684,EDU ,Northwestern University                                         ,Collaborative Research: IUSE EHR - Inclusive Learning and Teaching in Undergraduate STEM Instruction,"$1,378,170 ",,
1824015,EDU ,Virginia Commonwealth University                                ,Overcoming Immunity to Change (ITC): ADVANCE IT VCU,"$2,999,676 ",,
1824260,EDU ,Arizona State University                                        ,ASU ADVANCE Institutional Transformation,"$2,999,743 ",,
1826738,EDU ,Louisiana State University                                      ,Louis Stokes Regional Center of Excellence: LSAMP - NSF International Center of Excellence (NICE),"$629,245 ",,
1826745,EDU ,University of Texas at El Paso                                  ,Louis Stokes STEM Pathways and Research Alliance: University of Texas System LSAMP,"$4,796,618 ",,
1826763,EDU ,University of Kentucky Research Foundation                      ,Louis Stokes STEM Pathways and Research Alliance: KY-WV LSAMP,"$3,500,000 ",,
1826797,EDU ,Clark Atlanta University                                        ,Mentoring Effectiveness in Undergraduate Research: An Examination of Its Impacts on Minority Students? Self-Efficacy and Persistence in STEM Fields,"$3,971,561 ",,
1826826,EDU ,Louisiana State University                                      ,Louis Stokes Regional Center of Excellence: Center for Promotion of Academic Careers through Motivational Opportunities to Develop Emerging Leaders in STEM (LS-PAC MODELS),"$2,499,999 ",,
1826954,EDU ,Tennessee State University                                      ,Tennessee Louis Stokes Alliance for Minority Participation,"$2,549,230 ",,
1834516,EDU ,Rochester Institute of Tech                                     ,NSF INCLUDES Alliance: Inclusive Graduate Education Network,"$870,298 ",,
1834518,EDU ,Association of Public and Land-Grant Universities               ,Collaborative Research: NSF INCLUDES Alliance: National Alliance for Inclusive  and Diverse STEM Faculty (NAIDSF),"$5,758,764 ",,
1834528,EDU ,University of Southern California                               ,NSF INCLUDES Alliance: Inclusive Graduate Education Network,"$1,338,834 ",,
1834540,EDU ,American Physical Society                                       ,NSF INCLUDES Alliance: Inclusive Graduate Education Network,"$6,752,304 ",,
1834545,EDU ,American Chemical Society (ACS)                                 ,NSF INCLUDES Alliance: Inclusive Graduate Education Network,"$2,355,774 ",,
1839870,ENG ,Harvard University                                              ,FW-HTF: Collaborative Research: The Next Mobile Office: Safe and Productive Work in Automated Vehicles,"$450,000 ",,
1841403,CSE ,Harvard University                                              ,"Phase II I/UCRC Harvard: Center for Spatiotemporal Thinking, Computing and Applications (STCA)","$596,000 ",,
1841687,EDU ,American Association for the Advancement of Science             ,STEM Equity Achievement (SEA Change),"$3,701,729 ",,
1856215,GEO ,Harvard University                                              ,Belmont Forum Collaborative Research: Governance of Sociotechnical Transformations,"$201,124 ",,
1901031,CSE ,Oregon State University                                         ,CHS: Large: Collaborative Research: Gender-Inclusive Open Source through Gender-Inclusive Tools,"$1,006,773 ",,
1906595,EDU ,Exploratorium                                                   ,Cambio: A Professional Development Approach for Building Latinx-focused Cultural Competence in Informal Science Education Institutions,"$2,821,709 ",,
1907398,EDU ,Harvard University                                              ,Collaborative Research: Developing an Online Game to Teach Middle School Students Science Research Practices in the Life Sciences,"$674,805 ",,
1909824,EDU ,Rutgers University Newark                                       ,Louis Stokes STEM Pathways and Research Alliance: Garden State LSAMP,"$4,778,600 ",,
1911251,EDU ,University of Arkansas at Pine Bluff                            ,Louis Stokes STEM Pathways and Research Alliance: ARK-LSAMP,"$3,970,549 ",,
1911271,EDU ,Elmhurst University                                             ,Louis Stokes New STEM Pathways Implementation-Only Alliance: Promotion of Underrepresented Minorities in Academic STEM (PUMA-STEM),"$1,748,109 ",,
1911341,EDU ,Chicago State University                                        ,Louis Stokes STEM Pathways and Research Alliances: The Illinois LSAMP STEM Pathway and Research Alliance (ILSPRA),"$4,695,538 ",,
1914916,MPS ,Harvard University                                              ,The Evolution of Evolvability in Microbial Populations,"$797,669 ",,
1915995,EDU ,Texas Southern University                                       ,The AGEP Data Engineering and Science Alliance Model: Training and Resources to Advance Minority Graduate Students and Postdoctoral Researchers into Faculty Careers,"$376,968 ",,
1916018,EDU ,University of Houston                                           ,The AGEP Data Engineering and Science Alliance Model: Training and Resources to Advance Minority Graduate Students and Postdoctoral Researchers into Faculty Careers,"$388,410 ",,
