Word,Test_Statistic,p_value,mean_2024,mean_2025,Effect_Size,Direction,count_2024,count_2025
project,9921840.5,0.8447933653485988,0.5948052952941885,0.5853645151424233,-0.009440780151765193,down,3844,5150
research,9395260.0,0.015518119121403893,0.665086173833986,0.621365635218425,-0.04372053861556102,down,3766,4845
use,12983968.0,0.22767789458221488,0.16610951624297438,0.16753895004626002,0.0014294338032856402,up,4445,5921
support,13016552.5,0.3382306744622745,0.2692362785420868,0.2634584735250099,-0.00577780501707692,down,4442,5921
impact,14092082.0,5.341475904907449e-13,0.2547642066207577,0.2358910151437942,-0.018873191476963508,down,4442,5921
datum,2111827.0,0.27003137010109035,2.582701985724333,2.591228726812707,0.008526741088374035,up,1743,2470
develop,4268054.5,0.0036069898306841084,1.0636914088451719,1.0855698413246349,0.021878432479462973,up,2544,3499
new,4074570.5,0.0009082068868831183,1.2565407233896264,1.1893183326028187,-0.0672223907868077,down,2371,3280
broad,13374681.5,0.0578273215208976,0.23503835950391117,0.23388589575327953,-0.0011524637506316326,down,4443,5921
award,13527194.0,0.00026759580316711336,0.2461360598371129,0.23897928127768694,-0.0071567785594259525,down,4442,5921
study,2386637.0,0.034029000652673974,1.4749896265321507,1.407246622791027,-0.06774300374112374,down,1929,2392
include,4778184.5,0.048628766633292124,0.9333015794784978,0.8784275426241134,-0.05487403685438441,down,2620,3555
nsf,13404343.5,0.003128828222080794,0.24988871278873498,0.2411520839752199,-0.008736628813515085,down,4442,5921
science,2697878.5,3.693024623741043e-05,1.7076444737981313,1.543805280731284,-0.16383919306684724,down,2022,2505
foundation,13124349.0,0.7471133388273364,0.24589028582173753,0.24758247149622334,0.0016921856744858133,up,4442,5921
evaluation,13261816.0,0.08282796489682191,0.2423644394007953,0.2397730175112011,-0.0025914218895942143,down,4443,5921
intellectual,13245137.5,0.04753791877071878,0.23687015138354042,0.2345459789999718,-0.0023241723835686345,down,4442,5921
mission,13138264.0,0.7935034343707096,0.24238983151705343,0.24286592882647054,0.0004760973094171117,up,4442,5921
reflect,13192786.0,0.3559072622176278,0.2404736769539547,0.2399527055805491,-0.0005209713734055932,down,4443,5921
review,13205579.0,0.14180883753974077,0.24338589774684322,0.24108807667647164,-0.002297821070371575,down,4442,5921
merit,13175099.0,0.5590402161668763,0.23727389399644758,0.23663941354414822,-0.0006344804522993575,down,4442,5921
criterion,13140785.0,0.7535812020064385,0.23965122365837216,0.24050268397964625,0.000851460321274089,up,4442,5921
deem,13137198.5,0.3160539133523754,0.24015469690006333,0.24047865605012214,0.00032395915005881126,up,4442,5921
worthy,13152020.0,0.7730903000414096,0.24015884701039394,0.24013184925562303,-2.6997754770913263e-05,down,4442,5921
statutory,13146096.5,0.5633217499341066,0.24031475880278189,0.24039592337862095,8.116457583906556e-05,up,4442,5921
design,1956264.0,0.4716528424344135,2.1350207054265695,2.0607844124019232,-0.0742362930246463,down,1683,2297
material,685755.5,0.7871166006783369,4.13778604202539,4.238169253336528,0.10038321131113825,up,1029,1341
technology,1560406.5,0.634441072192687,2.6292009483979246,2.562598844118256,-0.0666021042796685,down,1547,2000
application,1765049.5,0.000888701250885822,1.894196227113748,1.7656616002959704,-0.1285346268177776,down,1498,2233
result,1371374.0,0.34077222718645594,1.2990356911932444,1.3029662435503617,0.003930552357117367,up,1458,1909
undergraduate,1437832.5,0.02792242083971059,1.6407471183855389,1.5473703021735936,-0.09337681621194527,down,1609,1725
approach,1545978.5,0.8732471886148216,1.7332820292794384,1.743824852498822,0.010542823219383601,up,1561,1986
activity,1094305.0,0.04160160858719733,1.9441980245871238,1.865653745853804,-0.0785442787333197,down,1372,1540
learn,996665.5,0.702574272972551,2.8005426806032734,2.6888878939619145,-0.11165478664135886,down,1178,1680
tool,906623.5,0.2572426911887924,2.2885442166809202,2.312509452846687,0.023965236165766957,up,1084,1710
problem,419300.0,0.7915794142546602,3.246658623180368,3.2915654933617664,0.044906870181398606,up,817,1020
increase,858197.5,1.6794396163905625e-06,1.9600260077534084,1.767572503688123,-0.1924535040652855,down,1147,1377
enable,1293291.0,0.10731645355816709,1.9786405448794615,2.0001133512161626,0.021472806336701122,up,1273,2090
information,538156.0,0.580195008384089,2.336860296830127,2.404311937680555,0.06745164085042799,up,936,1163
large,670232.0,0.07282379200341751,1.961198664445597,1.9047798840976158,-0.0564187803479812,down,999,1298
control,407821.5,0.36023559511792247,3.22480039082419,3.3229307981832346,0.09813040735904455,up,774,1031
two,685725.0,0.21810359065909402,1.8149575105562359,1.7575627718063707,-0.057394738749865226,down,1077,1246
